"Whova Agenda Track Excel Template (Three sheets, Agenda, Speaker, Personalized)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
 Instructions (4 steps),,,,,,,,,,,,,
Step 1,"When ready, you can begin filling in the agenda after the row that says ""START YOUR AGENDA BELOW"". The agenda sample does not have to be deleted and will not affect your agenda.",,,,,,,,,,,,
Step 2,"Add your content. * means required field. Make sure to not delete any of the columns. If you're not using a given column, please leave it blank",,,,,,,,,,,,
Step 3,"When you are done, upload your file to the  session manager on the dashboard",,,,,,,,,,,,
Step 4,"If there are any errors, they will show on the uploading window. ",,,,,,,,,,,,
,,,,,,,,,,,,,
Important Notes (Please read if you have these requirements),,,,,,,,,,,,,
If you have speakers,"1. If there are multiple speakers in one session, separate the speakers with semicolons;
2. Please add each speaker to the ""Speaker"" sheet together with other speaker info such as bio and affiliation - click ""Speaker"" at the bottom of this sheet",,,,,,,,,,,,
If you have tracks,"If there are multiple tracks for one session, separate them with semicolons",,,,,,,,,,,,
If you have subsessions,"Fill in the ""Session or Sub-session"" column with only ""Session"" or ""Sub""",,,,,,,,,,,,
If you want to pre-assign sessions to attendees,"1. Go to the ""Personalized"" sheet;
2. Put the attendee's email and the session title to the sheet",,,,,,,,,,,,
If you have tags,"1. If there are multiple tags for one session, separate them with semicolons.
2. Up to 4 tags can be added per session. An error will occur if more are added.",,,,,,,,,,,,
"If you have session participants with roles other than “Speaker” (such as moderators, panelists, etc)","1. Use the “Role: Moderators” column to designate any session moderators
2. If you have additional roles besides Moderators that you’d like to assign to the session, add additional column(s) after the moderator column with the header, “Role: {Name of the role} “. 
3. If there are multiple Speakers with a given role, separate them using semicolons.",,,,,,,,,,,,
,,,,,,,,,,,,,
AGENDA SAMPLES,,,,,,,,,,,,,
*Date,*Start Time,*End Time,Tracks (Optional),*Session Title,Room/Location (Optional),Description (Optional),Speakers (Optional),Role: Moderators (Optional),Authors (Optional),Recorded Video URL (Optional),Session or Sub-session(Sub) (Optional),Tags (Optional),
3/31/2016,9:00 AM,11:00 AM,Keynote Session; Writing 101 Series,Morning Sessions,Building A,Kick off the day with our warm up workshops!,Diana Jones,,,https://www.youtube.com/watch?v=Si2N-KVm2eY ,Session,In-person only; Keynote,
3/31/2016,9:00 AM,10:00 AM,Writing 101 Series,Free writing: Get It Out Of Your Head,"Building A, Room 123",Anna and Jeremy will walk you through a few fun freewriting exercises.,Anna Marshall; Jeremy Tin,,,,Sub,Virtual only,
3/31/2016,10:00 AM,11:00 AM,Writing 101 Series,Editing: What To Remember,"Building A, Room 123",Bring a piece of your writing and join Diana to make some editing progress on your work.,Diana Jones,,Tim Robin;Dave Zong,,Session,Hybrid; Breakout,
3/31/2016,11:00 PM,11:30 PM,Writing 102 Series,Marketing Your Writing,Building C,So you're a writer. But how do you get gigs?,Sarah Tran; Yen Brown,,,,Session,,
3/31/2016,11:30 AM,1:30 PM,Misc,Lunch,Main Hall,,,,,,Sub,,
Speaker details in the Speaker sheet→,,,*Name,Email,Affiliation,Position,Bio,,,,,,
,,,Anna Marshall,amarshall@whova.com,Whova Inc,Engineer,Anna lives in San Diego,,,,,,
,,,Diana Jones,,Whova Inc,Architect,,,,,,,
START YOUR AGENDA BELOW       * = Required Field,,,,,,,,,,,,,
*Date,*Time Start,*Time End,Tracks (Optional),*Session Title,Room/Location (Optional),Description (Optional),Speakers (Optional),Role: Moderators (Optional),Role: Session Chairs (Optional),Authors (Optional),Recorded Video URL (Optional),Session or Sub-session(Sub) (Optional),Tags (Optional)
2025-10-25 00:00:00,08:00:00,17:00:00,Short Courses,Short Courses (Day 1),Regency AB; Regency EF,"<p> Please <a href=""https://phm2025.phmsociety.org/short-courses/""><b>click here</b></a> for more details about the short courses. </p>",,,,,,Session,
2025-10-25 00:00:00,08:00:00,09:45:00,Short Courses,"PHM Fundamentals: From Monitoring/Sensing to Fault Diagnosis, Failure Prognosis, and Case Studies (Day 1)",Regency AB,"<p> Please <a href=""https://phm2025.phmsociety.org/short-courses/""><b>click here</b></a> for more details about the short courses. </p>",Karl Reichard; Abhinav Saxena; Jose Celaya; Jeff Bird,,,,,Sub,
2025-10-25 00:00:00,08:00:00,09:45:00,Short Courses,Analytics for PHM (Day 1),Regency EF,"<p> Please <a href=""https://phm2025.phmsociety.org/short-courses/""><b>click here</b></a> for more details about the short courses. </p>",Neil Eklund; Jeff Bird,,,,,Sub,
2025-10-25 00:00:00,09:45:00,10:15:00,General,Break,Regency Foyer,,,,,,,Sub,
2025-10-25 00:00:00,10:15:00,12:00:00,Short Courses,"PHM Fundamentals: From Monitoring/Sensing to Fault Diagnosis, Failure Prognosis, and Case Studies (Day 1)",Regency AB,"<p> Please <a href=""https://phm2025.phmsociety.org/short-courses/""><b>click here</b></a> for more details about the short courses. </p>",Karl Reichard; Abhinav Saxena; Jose Celaya; Jeff Bird,,,,,Sub,
2025-10-25 00:00:00,10:15:00,12:00:00,Short Courses,Analytics for PHM (Day 1),Regency EF,"<p> Please <a href=""https://phm2025.phmsociety.org/short-courses/""><b>click here</b></a> for more details about the short courses. </p>",Neil Eklund; Jeff Bird,,,,,Sub,
2025-10-25 00:00:00,12:00:00,13:00:00,Short Courses,Included Lunch for Short Course participants,,,,,,,,Sub,
2025-10-25 00:00:00,13:00:00,14:45:00,Short Courses,"PHM Fundamentals: From Monitoring/Sensing to Fault Diagnosis, Failure Prognosis, and Case Studies (Day 1)",Regency AB,"<p> Please <a href=""https://phm2025.phmsociety.org/short-courses/""><b>click here</b></a> for more details about the short courses. </p>",Karl Reichard; Abhinav Saxena; Jose Celaya; Jeff Bird,,,,,Sub,
2025-10-25 00:00:00,13:00:00,14:45:00,Short Courses,Analytics for PHM (Day 1),Regency EF,"<p> Please <a href=""https://phm2025.phmsociety.org/short-courses/""><b>click here</b></a> for more details about the short courses. </p>",Neil Eklund; Jeff Bird,,,,,Sub,
2025-10-25 00:00:00,14:45:00,15:15:00,General,Break,Regency Foyer,,,,,,,Sub,
2025-10-25 00:00:00,15:15:00,17:00:00,Short Courses,"PHM Fundamentals: From Monitoring/Sensing to Fault Diagnosis, Failure Prognosis, and Case Studies (Day 1)",Regency AB,"<p> Please <a href=""https://phm2025.phmsociety.org/short-courses/""><b>click here</b></a> for more details about the short courses. </p>",Karl Reichard; Abhinav Saxena; Jose Celaya; Jeff Bird,,,,,Sub,
2025-10-25 00:00:00,15:15:00,17:00:00,Short Courses,Analytics for PHM (Day 1),Regency EF,"<p> Please <a href=""https://phm2025.phmsociety.org/short-courses/""><b>click here</b></a> for more details about the short courses. </p>",Neil Eklund; Jeff Bird,,,,,Sub,
,,,,,,,,,,,,,
2025-10-26 00:00:00,08:00:00,17:00:00,Short Courses,Short Courses (Day 2),Regency AB; Regency EF,"<p> Please <a href=""https://phm2025.phmsociety.org/short-courses/""><b>click here</b></a> for more details about the short courses. </p>",Karl Reichard; Abhinav Saxena; Jose Celaya; Jeff Bird,,,,,Session,
2025-10-26 00:00:00,08:00:00,09:45:00,Short Courses,"PHM Fundamentals: From Monitoring/Sensing to Fault Diagnosis, Failure Prognosis, and Case Studies (Day 2)",Regency AB,"<p> Please <a href=""https://phm2025.phmsociety.org/short-courses/""><b>click here</b></a> for more details about the short courses. </p>",Karl Reichard; Abhinav Saxena; Jose Celaya; Jeff Bird,,,,,Sub,
